"","spcode","spcode_4_3","accepted_species","dispersal_syndrome_modified","pollination_syndrome_modified","sexual_system_modified","mean_wd","seedlength_mm","seedlength_cat","n_mgg_1","p_mgg_1","n_p_ratio"
"42","cynore","cynoret","Cynometra retusa","dvar","pins","ssher",0.84,NA,NA,18.1,0.9,20.1111111111111
"43","dendar","dendarb","Dendropanax arboreus","dani","pins","ssdio",0.4218,NA,"15_to_30mm",22.27,1.11,20.0630630630631
"44","denbbo","dendbol","Dendrobangia boliviana","dani","pins","ssher",0.635333333333333,NA,NA,27.8,1.2,23.1666666666667
"45","dialgu","dialgui","Dialium guianense","dvar","pins","ssher",0.873,7.5,"6_to_15mm",24.6,1,24.6
"46","dichmo","dichmor","Dichapetalum morenoi","dani","pins","ssher",0.60142650396498,NA,NA,31.3,1,31.3
"47","diptpa","diptpan","Dipteryx panamensis","dani","pins","ssher",0.889202380952381,NA,"50_to_100mm",25.6,1.4,18.2857142857143
"48","dussma","dussmac","Dussia macroprophyllata","dani","pins","ssher",0.563,NA,"50_to_100mm",28.23,2.3,12.2739130434783
"49","dystpa","dystpan","Dystovomita paniculata","dani","pins","ssdio",0.60142650396498,NA,"15_to_30mm",17,0.79,21.5189873417721
"50","elaegl","elaegla","Elaeoluma glabrescens","dani","pins","ssdio",0.60142650396498,NA,"30_to_50mm",16.3,0.7,23.2857142857143
"51","entesc","entesch","Enterolobium schomburgkii","dani",NA,NA,0.7007,NA,NA,34,0.9,37.7777777777778
"52","eschca","eschcal","Eschweilera calyculata","dani","pins","ssher",0.825263020833333,NA,"30_to_50mm",22.3,0.9,24.7777777777778
"53","eschin","eschint","Eschweilera integrifolia","dani","pins","ssher",0.825263020833333,NA,NA,22.3,0.9,24.7777777777778
"54","eschlo","eschlon","Eschweilera collinsii","dani","pins","ssher",0.825263020833333,NA,"15_to_30mm",22.3,0.9,24.7777777777778
"55","eutepr","eutepre","Euterpe precatoria","dani","pins","ssmon",0.387666666666667,NA,"1_to_6mm",19.78,1.01,19.5841584158416
"56","garcma","garcmad","Garcinia madruno","dani","pins","ssdio",0.726666666666667,NA,"15_to_30mm",18.5,1,18.5
"57","goetme","goetmei","Goethalsia meiantha","dwin","pins","ssher",0.3494,NA,"30_to_50mm",33.05,0.74,44.6621621621622
"58","griaca","griacau","Grias cauliflora","dvar","pins","ssher",0.62,NA,">100mm",17.4,1.4,12.4285714285714
"59","guarbu","guarbul","Guarea bullata","dani","pins","ssdio",0.621500854700855,NA,"30_to_50mm",26.6,1.7,15.6470588235294
"60","guarge","guargen","Guarea gentryi","dani","pins","ssher",0.621500854700855,NA,NA,25.6,1.1,23.2727272727273
"61","guargl","guargla","Guarea glabra","dani","pins","ssdio",0.500666666666667,22.5,NA,28.38,1.59,17.8490566037736
"62","guargr","guargra","Guarea guidonia","dani","pins","ssdio",0.543444444444445,NA,"30_to_50mm",28.11,1.5,18.74
"63","guarho","guarhof","Guarea hoffmanniana","dani","pins","ssher",0.621500854700855,NA,NA,28.11,1.5,18.74
"64","guarku","guarkun","Guarea kunthiana","dani","pins","ssdio",0.5754,NA,"6_to_15mm",25.2,1.4,18
"65","guatae","guataer","Guatteria aeruginosa","dani","pins","ssher",0.576333333333333,NA,"15_to_30mm",22.2,1,22.2
"66","guatre","guatrec","Guatteria ucayalina","dani","pins","ssher",0.576333333333333,NA,NA,21,0.8,26.25
"67","hampap","hampapp","Hampea appendiculata","dani","pins","ssdio",0.245,NA,"15_to_30mm",31.97,1.66,19.2590361445783
"68","herndi","herndid","Hernandia didymantha","dani","pins","ssmon",0.2795,NA,"30_to_50mm",26.1,1.24,21.0483870967742
"69","hirttr","hirttri","Hirtella triandra","dani","pins","ssher",0.68275,11.1,"30_to_50mm",19.39,0.47,41.2553191489362
"70","humidi","humidig","Humiriastrum diguense","dani","pins","ssher",0.690083333333333,NA,"30_to_50mm",18.47,0.74,24.9594594594595
"71","hyeral","hyeralc","Hieronyma alchorneoides","dani","pins","ssdio",0.60142650396498,NA,"1_to_6mm",25.11,1.16,21.6465517241379
"72","hyerob","hyerobl","Stilaginella oblonga","dani","pins","ssdio",0.60142650396498,NA,NA,25.3,1.1,23
"73","hymeme","hymemes","Hymenolobium mesoamericanum","dwin","pins","ssher",0.650875,NA,"15_to_30mm",26.9,1.3,20.6923076923077
"74","ilexsk","ilexsku","Ilex skutchii","dani","pins","ssdio",0.568666666666667,NA,"1_to_6mm",24.09,1.01,23.8514851485149
"75","ingaac","ingaacu","Inga acuminata","dani","pvar","ssher",0.577087345679012,NA,"15_to_30mm",33,1.1,30
"76","ingaal","ingaalb","Inga alba","dani","pvar","ssher",0.586111111111111,NA,"15_to_30mm",33.34,1.18,28.2542372881356
"77","ingaae","ingaall","Inga allenii","dani","pvar","ssher",0.577087345679012,NA,NA,36.4,1.3,28
"78","ingach","ingacho","Inga chocoensis","dani","pvar","ssher",0.577087345679012,NA,"30_to_50mm",3,1.2,2.5
"79","ingaji","ingajin","Inga inicuil","dani","pvar","ssher",0.577087345679012,NA,NA,31.47,1.19,26.4453781512605
"80","ingale","ingalei","Inga leiocalycina","dani","pvar","ssher",0.56,NA,"30_to_50mm",34.36,1.25,27.488
"81","ingamo","ingamor","Inga mortoniana","dani","pvar","ssher",0.577087345679012,NA,"30_to_50mm",35.9,1.2,29.9166666666667
"82","ingaoe","ingaoer","Inga oerstediana","dani","pbir","ssher",0.425,NA,"30_to_50mm",34.3,1.7,20.1764705882353
"83","ingape","ingapez","Inga pezizifera","dani","pvar","ssher",0.6065,NA,"30_to_50mm",33.23,1.06,31.3490566037736
